OPEN-PROM-variable,magpie-variable
Carbon Removal|Land Use|Agroforestry,Emissions|CO2|AFOLU|Land|Land-use Change|Regrowth|+|Cropland Tree Cover
Carbon Removal|Land Use|Re/Afforestation|Natural Forest,Emissions|CO2|AFOLU|Land|Land-use Change|Regrowth|+|NPI_NDC AR
Carbon Removal|Land Use|Re/Afforestation|Natural Forest,Emissions|CO2|AFOLU|Land|Land-use Change|Regrowth|CO2-price AR|+|Natural Forest
Carbon Removal|Land Use|Re/Afforestation|Plantation,Emissions|CO2|AFOLU|Land|Land-use Change|Regrowth|CO2-price AR|+|Plantation
Carbon Removal|Land Use|Soil Carbon Management|Cropland,Emissions|CO2|AFOLU|Land|Land-use Change|Soil|Cropland management|+|Withdrawals
